Models name,MSRP,MBSP Group, Easy Care 3 , Easy Care 4 , Easy Care 5 , Easy Care 6 , Easy Care 7 , Easy Care 8 , Extra Guarantee 4 , Extra Guarantee 5 , Extra Guarantee 6 , Extra Guarantee 7 , Extra Guarantee 8 , Ultimate 3 , Ultimate 4 , Ultimate 5 , Ultimate 6 , Ultimate 7 , Ultimate 8 
A 200 AMG Dynamic -TH5," 2,320,000.00 ",NGCC," 83,590.00 "," 109,820.00 "," 141,150.00 "," 173,400.00 "," 199,890.00 "," 226,580.00 "," 51,640.00 "," 138,340.00 "," 174,670.00 "," 211,850.00 "," 254,220.00 "," 115,120.00 "," 237,440.00 "," 373,860.00 "," 486,030.00 "," 568,220.00 "," 695,800.00 "
C 200 Coupe AMG Dynamic -TH1," 3,560,000.01 ",Dream cars 1," 83,450.00 "," 114,460.00 "," 163,170.00 "," 199,840.00 "," 224,020.00 "," 255,580.00 "," 61,570.00 "," 164,940.00 "," 208,270.00 "," 252,570.00 "," 303,100.00 "," 117,700.00 "," 258,340.00 "," 431,600.00 "," 557,720.00 "," 647,580.00 "," 794,640.00 "
C 200 Coupe AMG Dynamic - TH2," 3,539,000.00 ",Dream cars 1," 83,450.00 "," 114,460.00 "," 163,170.00 "," 199,840.00 "," 224,020.00 "," 255,580.00 "," 61,570.00 "," 164,940.00 "," 208,270.00 "," 252,570.00 "," 303,100.00 "," 117,700.00 "," 258,340.00 "," 431,600.00 "," 557,720.00 "," 647,580.00 "," 794,640.00 "
C 220 d AMG Line -TH4," 2,880,000.01 ",C-Class 206," 96,340.00 "," 133,890.00 "," 191,830.00 "," 240,570.00 "," 265,300.00 "," 314,450.00 "," 63,990.00 "," 171,430.00 "," 216,440.00 "," 262,480.00 "," 315,000.00 "," 129,440.00 "," 278,670.00 "," 462,190.00 "," 602,330.00 "," 691,410.00 "," 854,240.00 "
C 220 d Avantgarde -TH3," 2,730,000.00 ",C-Class 206," 96,340.00 "," 133,890.00 "," 191,830.00 "," 240,570.00 "," 265,300.00 "," 314,450.00 "," 63,990.00 "," 171,430.00 "," 216,440.00 "," 262,480.00 "," 315,000.00 "," 129,440.00 "," 278,670.00 "," 462,190.00 "," 602,330.00 "," 691,410.00 "," 854,240.00 "
C 350 e AMG Dynamic -TH2," 3,350,000.01 ",C-Class 206," 96,340.00 "," 133,890.00 "," 191,830.00 "," 240,570.00 "," 265,300.00 "," 314,450.00 "," 63,990.00 "," 171,430.00 "," 216,440.00 "," 262,480.00 "," 315,000.00 "," 129,440.00 "," 278,670.00 "," 462,190.00 "," 602,330.00 "," 691,410.00 "," 854,240.00 "
C 350 e AMG Dynamic (Night Edition)-TH2," 3,290,000.00 ",C-Class 206," 96,340.00 "," 133,890.00 "," 191,830.00 "," 240,570.00 "," 265,300.00 "," 314,450.00 "," 63,990.00 "," 171,430.00 "," 216,440.00 "," 262,480.00 "," 315,000.00 "," 129,440.00 "," 278,670.00 "," 462,190.00 "," 602,330.00 "," 691,410.00 "," 854,240.00 "
C 350 e AMG Dynamic-TH3," 3,200,000.00 ",C-Class 206," 96,340.00 "," 133,890.00 "," 191,830.00 "," 240,570.00 "," 265,300.00 "," 314,450.00 "," 63,990.00 "," 171,430.00 "," 216,440.00 "," 262,480.00 "," 315,000.00 "," 129,440.00 "," 278,670.00 "," 462,190.00 "," 602,330.00 "," 691,410.00 "," 854,240.00 "
CLE 300 4MATIC Coupe AMG Dynamic - THA," 3,950,000.00 ",E-Class 214," 91,910.00 "," 125,980.00 "," 180,970.00 "," 215,350.00 "," 245,970.00 "," 278,740.00 "," 81,180.00 "," 217,500.00 "," 274,620.00 "," 333,050.00 "," 399,650.00 "," 159,200.00 "," 339,320.00 "," 576,530.00 "," 733,480.00 "," 868,900.00 "," 1,044,970.00 "
CLE 300 4MATIC Coupe AMG Dynamic - THB," 4,050,000.00 ",E-Class 214," 91,910.00 "," 125,980.00 "," 180,970.00 "," 215,350.00 "," 245,970.00 "," 278,740.00 "," 81,180.00 "," 217,500.00 "," 274,620.00 "," 333,050.00 "," 399,650.00 "," 159,200.00 "," 339,320.00 "," 576,530.00 "," 733,480.00 "," 868,900.00 "," 1,044,970.00 "
CLS 220 d AMG Premium -TH2," 4,640,000.00 ",Dream cars 2," 111,650.00 "," 150,810.00 "," 232,090.00 "," 341,930.00 "," 431,750.00 "," 542,640.00 "," 77,460.00 "," 207,530.00 "," 262,020.00 "," 317,750.00 "," 381,310.00 "," 153,820.00 "," 323,540.00 "," 560,140.00 "," 776,450.00 "," 947,500.00 "," 1,195,620.00 "
E 200 Coupe AMG Dynamic -TH2," 4,850,000.00 ",Dream cars 2," 111,650.00 "," 150,810.00 "," 232,090.00 "," 341,930.00 "," 431,750.00 "," 542,640.00 "," 77,460.00 "," 207,530.00 "," 262,020.00 "," 317,750.00 "," 381,310.00 "," 153,820.00 "," 323,540.00 "," 560,140.00 "," 776,450.00 "," 947,500.00 "," 1,195,620.00 "
E 220 d AMG Line-THB," 3,990,000.00 ",E-Class 214," 91,910.00 "," 125,980.00 "," 180,970.00 "," 215,350.00 "," 245,970.00 "," 278,740.00 "," 81,180.00 "," 217,500.00 "," 274,620.00 "," 333,050.00 "," 399,650.00 "," 159,200.00 "," 339,320.00 "," 576,530.00 "," 733,480.00 "," 868,900.00 "," 1,044,970.00 "
E 220 d AMG Line-THC," 3,930,000.00 ",E-Class 214," 91,910.00 "," 125,980.00 "," 180,970.00 "," 215,350.00 "," 245,970.00 "," 278,740.00 "," 81,180.00 "," 217,500.00 "," 274,620.00 "," 333,050.00 "," 399,650.00 "," 159,200.00 "," 339,320.00 "," 576,530.00 "," 733,480.00 "," 868,900.00 "," 1,044,970.00 "
E 220 d AMG Sport -TH3," 3,650,000.01 ",E-Class 213," 85,500.00 "," 121,870.00 "," 172,370.00 "," 209,040.00 "," 237,340.00 "," 268,190.00 "," 78,120.00 "," 209,290.00 "," 264,260.00 "," 320,470.00 "," 384,580.00 "," 121,480.00 "," 281,450.00 "," 485,400.00 "," 621,980.00 "," 728,960.00 "," 872,840.00 "
E 300 e AMG Dynamic -TH5," 4,020,000.01 ",E-Class 213," 85,500.00 "," 121,870.00 "," 172,370.00 "," 209,040.00 "," 237,340.00 "," 268,190.00 "," 78,120.00 "," 209,290.00 "," 264,260.00 "," 320,470.00 "," 384,580.00 "," 121,480.00 "," 281,450.00 "," 485,400.00 "," 621,980.00 "," 728,960.00 "," 872,840.00 "
E 300 e Avantgarde -TH4," 3,400,000.01 ",E-Class 213," 85,500.00 "," 121,870.00 "," 172,370.00 "," 209,040.00 "," 237,340.00 "," 268,190.00 "," 78,120.00 "," 209,290.00 "," 264,260.00 "," 320,470.00 "," 384,580.00 "," 121,480.00 "," 281,450.00 "," 485,400.00 "," 621,980.00 "," 728,960.00 "," 872,840.00 "
