,New model added on 08/08/2025,,,,,,RV Change 03/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RV update,,,,,"20,000 KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX-Code,Models name,Road Tax Jur,Raod Tax Ind.,MSRP,CC Engine,Models,12,24,36,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17718762-TH5,A 200 AMG Dynamic -TH5,3196,1398," 2,320,000.00 ",1332,A 200 AMG Dynamic -TH5,64%,54%,49%,44%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20538062-TH1,C 200 Coupe AMG Dynamic - TH2,6207,2864," 3,539,000.00 ",1991,C 200 Coupe AMG Dynamic - TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20538062-TH1,C 200 Coupe AMG Dynamic -TH1,6207,2864," 3,560,000.01 ",1991,C 200 Coupe AMG Dynamic -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20600462-TH4,C 220 d AMG Line -TH4,6144,2872," 2,880,000.01 ",1993,C 220 d AMG Line -TH4,70%,59%,53%,46%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20600462-TH3,C 220 d Avantgarde -TH3,6144,2872," 2,730,000.00 ",1993,C 220 d Avantgarde -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20605462-TH2,C 350 e AMG Dynamic (Night Edition)-TH2,6192,2896," 3,290,000.00 ",1999,C 350 e AMG Dynamic (Night Edition)-TH2,60%,50%,45%,39%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20605462-TH2,C 350 e AMG Dynamic -TH2,6192,2896," 3,350,000.01 ",1999,C 350 e AMG Dynamic -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23634762-THA,CLE 300 4MATIC Coupe AMG Dynamic - THA,6192,2896," 3,950,000.00 ",1999,CLE 300 4MATIC Coupe AMG Dynamic - THA,75%,64%,58%,51%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23634762-THB,CLE 300 4MATIC Coupe AMG Dynamic - THB,6192,2896," 4,050,000.00 ",1999,CLE 300 4MATIC Coupe AMG Dynamic - THB,75%,64%,58%,51%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23838022-TH2,E 200 Coupe AMG Dynamic -TH2,6128,2864," 4,850,000.00 ",1991,E 200 Coupe AMG Dynamic -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21400462-THC,E 220 d AMG Line-THC,6144,2872," 3,930,000.00 ",1993,E 220 d AMG Line-THC,73%,62%,57%,50%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300462-TH3,E 220 d AMG Sport -TH3,5800,2700," 3,650,000.01 ",1950,E 220 d AMG Sport -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21305362-TH5,E 300 e AMG Dynamic -TH5,6128,2864," 4,020,000.01 ",1950,E 300 e AMG Dynamic -TH5,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21305362-TH4,E 300 e Avantgarde -TH4,6128,2864," 3,400,000.01 ",1950,E 300 e Avantgarde -TH4,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21405462-THB,E 350 e AMG Dynamic-THB,6192,2896," 4,080,000.00 ",1999,E 350 e AMG Dynamic-THB,69%,58%,52%,46%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21405462-THC,E 350 e Exclusive - THC,6192,2896," 3,650,000.00 ",1999,E 350 e Exclusive - THC,70%,60%,54%,47%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24360122-TH1,EQB 250 AMG Line -TH1,3800,1900," 3,020,000.00 ",1950,EQB 250 AMG Line -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24360122-TH2,EQB 250 AMG Line -TH2,3800,1900," 3,020,000.00 ",1950,EQB 250 AMG Line -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29511122-THA,EQE 300 - THA,3800,1900," 3,970,000.00 ",2405,EQE 300 - THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29511122-THA,EQE 300 - THB,3800,1900," 2,890,000.00 ",2405,EQE 300 - THB,70%,58%,51%,43%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH6,EQE 350 4MATIC SUV AMG Dynamic -TH1,4400,2200," 5,650,000.01 ",2580,EQE 350 4MATIC SUV AMG Dynamic -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH6,EQE 350 4MATIC SUV AMG Dynamic -TH2,4400,2200," 3,790,000.00 ",2580,EQE 350 4MATIC SUV AMG Dynamic -TH2,69%,57%,50%,42%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH2,EQE 350 4MATIC SUV AMG Line -TH2,4400,2200," 5,300,000.00 ",2580,EQE 350 4MATIC SUV AMG Line -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH2,EQE 350 4MATIC SUV AMG Line -TH3,4400,2200," 3,690,000.00 ",2580,EQE 350 4MATIC SUV AMG Line -TH3,69%,57%,50%,42%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
