ModelDisplay,MSRP,CC,InsurancePriceInclVat,InsurancePriceExclVat,NormalizedKey
A 200 AMG Dynamic,2320000,1332,45091.14,42141.25,a200amg
C 220 d AMG Line,2880000,1993,61188.18,57185.21,c220d
C 350 e AMG Dynamic  (Night Edition),3290000,1999,66017.72,61698.8,c350eamg
CLE 300 4MATIC Coupé AMG Dynamic,3950000,1999,78537.64,73399.66,cle3004maticcoupeamg
E 220 d AMG Line,3930000,1993,56537.71,52838.98,e220d
E 350 e AMG Dynamic,4080000,1999,57522.06,53758.93,e350eamg
E 350 e Exclusive,3650000,1999,51262.1,47908.5,e350e
EQE 300 Electric Art Sedan,2890000,2405,56716.78,53006.34,eqe300sedan
EQE 350 4MATIC SUV AMG Dynamic,3790000,2580,74066.24,69220.79,eqe3504maticsuvamg
EQE 350 4MATIC SUV AMG Line,3690000,2580,72187.61,67465.06,eqe3504maticsuv
EQS 450 4MATIC SUV AMG Dynamic,5990000,2840,93203.19,87105.79,eqs4504maticsuvamg
EQS 450+ AMG Dynamic,5950000,2515,92398.98,86354.19,eqs450+amg
EQS 500 4M SUV(CBU),6950000,2840,107869.81,100812.91,eqs5004msuv
GLA  200  AMG Dynamic,2580000,1332,44555,41640.19,gla200amg
GLC 220 d 4MATIC Avantgarde,3720000,1993,51083.03,47741.15,glc220d4matic
GLC 350 d 4MATIC AMG Dynamic (MY2024),4180000,1950,54392.08,50833.72,glc350d4maticamg
GLC 350 e 4MATIC Coupé AMG Dynamic,4340000,1999,56448.71,52755.8,glc350e4maticcoupeamg
GLE 300 d 4MATIC AMG Dynamic (New),5590000,1993,69504.77,64957.73,gle300d4maticamg
GLE 300 d 4MATIC AMG Line,4980000,1993,61993.46,57937.81,gle300d4matic
GLS 450 d 4MATIC AMG Dynamic,6980000,2989,79073.78,73900.73,gls450d4maticamg
Mercedes - Maybach EQS 680 SUV,12620000,3075,195330.18,182551.57,mercedesmaybacheqs680suv
Mercedes - Maybach S 580 e Premium (Maybach two-tone Paint high – tech silver/selenite grey),11300000,2999,122893.5,114853.74,mercedesmaybachs580e
Mercedes-AMG EQE 53 4MATIC+,5950000,2540,92487.98,86437.36,mercedesamgeqe534matic+
S 350 d Exclusive,7300000,2925,80415.2,75154.39,s350d
S 580 e AMG Premium (MY:2023),7580000,2999,84439.46,78915.38,s580e
Sprinter 319 Cab Chasis,2070000,1950,42856.44,40052.75,sprinter319cabchasis
Sprinter 419 Business,3980000,1950,55108.29,51503.07,sprinter419business
Sprinter 419 Business Long,4240000,1950,58595.34,54762,sprinter419businesslong
Vito 119 CDI Tourer Pro,3100000,1950,43124.51,40303.28,vito119cditourerpro
