ลำดับ,รุ่น," เครื่องยนต์
(CC) ","อายุ
รถยนต์", ราคา ,MBTh_Total Payment aft er discount  (included vat),MBTh_Total Payment aft er discount  (excluded vat),,
,,,,,,,,
1,A 200 AMG Dynamic,1332,ปี 1," 2,320,000 "," 45,091.14 "," 42,141.25 ",,
2,GLA  200  AMG Dynamic,1332,ปี 1," 2,580,000 "," 44,555.00 "," 41,640.19 ",,
3,C 220 d AMG Line,1993,ปี 1," 2,880,000 "," 61,188.18 "," 57,185.21 ",,
4,C 350 e AMG Dynamic  (Night Edition)         ,1999,ปี 1," 3,290,000 "," 66,017.72 "," 61,698.80 ",,
5,E 350 e AMG Dynamic ,1999,ปี 1," 4,080,000 "," 57,522.06 "," 53,758.93 ",,
6,E 220 d AMG Line                                                      ,1993,ปี 1," 3,930,000 "," 56,537.71 "," 52,838.98 ",,
7,E 350 e Exclusive,1999,ปี 1," 3,650,000 "," 51,262.10 "," 47,908.50 ",,
8,CLE 300 4MATIC Coupé AMG Dynamic,1999,ปี 1," 3,950,000 "," 78,537.64 "," 73,399.66 ",,
9,GLC 220 d 4MATIC Avantgarde,1993,ปี 1," 3,720,000 "," 51,083.03 "," 47,741.15 ",,
10,GLC 350 d 4MATIC AMG Dynamic (MY2024),1950,ปี 1," 4,180,000 "," 54,392.08 "," 50,833.72 ",,
11,GLC 350 e 4MATIC Coupé AMG Dynamic              ,1999,ปี 1," 4,340,000 "," 56,448.71 "," 52,755.80 ",,
12,GLE 300 d 4MATIC AMG Line                                   ,1993,ปี 1," 4,980,000 "," 61,993.46 "," 57,937.81 ",,
13,GLS 450 d 4MATIC AMG Dynamic                           ,2989,ปี 1," 6,980,000 "," 79,073.78 "," 73,900.73 ",,
14,S 350 d Exclusive (MY:2023),2925,ปี 1," 7,050,000 "," 77,643.36 "," 72,563.89 ",,
15,S 350 d Exclusive,2925,ปี 1," 7,300,000 "," 80,415.20 "," 75,154.39 ",,
16,S 580 e AMG Premium (MY:2023),2999,ปี 1," 7,580,000 "," 84,439.46 "," 78,915.38 ",,
17,S 580 e AMG Premium (MY:2023),2999,ปี 1," 7,580,000 "," 84,439.46 "," 78,915.38 ",,
18,S 580 e AMG Premium (MY:2024),3000,ปี 1," 7,580,000 "," 84,439.46 "," 78,915.38 ",,
19,GLE 300 d 4MATIC AMG Dynamic (New),1993,ปี 1," 5,590,000 "," 69,504.77 "," 64,957.73 ",,
,Mercedes-Maybach S 580 e Premium,3982,ปี 1," 10,200,000 "," 110,999.79 "," 103,738.12 ",,
,Mercedes-Maybach S 580 e Premium,3982,ปี 1," 10,700,000 "," 116,454.47 "," 108,835.95 ",,
,Mercedes - Maybach S 580 e Premium (Maybach two-tone Paint),2999,ปี 1," 11,200,000 "," 121,820.15 "," 113,850.61 ",,
,Mercedes - Maybach S 580 e Premium (Maybach two-tone Paint high – tech silver/selenite grey),2999,ปี 1," 11,300,000 "," 122,893.50 "," 114,853.74 ",,
,EQS 500 4M SUV(CBU),2840,ปี 1," 6,950,000 "," 107,869.81 "," 100,812.91 ",,
20,Vito 119 CDI Tourer Pro,1950,ปี 1," 3,100,000 "," 43,124.51 "," 40,303.28 ",,
21,Sprinter 319 Cab Chasis,1950,ปี 1," 2,070,000 "," 42,856.44 "," 40,052.75 ",,
22,Sprinter 419 Business,1950,ปี 1," 3,980,000 "," 55,108.29 "," 51,503.07 ",,
23,Sprinter 419 Business Long,1950,ปี 1," 4,240,000 "," 58,595.34 "," 54,762.00 ",,
24,EQE 300 Electric Art Sedan,2405,ปี 1," 2,890,000 "," 56,716.78 "," 53,006.34 ",,
25,EQE 350 4MATIC SUV Electric Art,2580,ปี 1," 3,190,000 "," 62,529.60 "," 58,438.88 ",,
26,EQE 350 4MATIC SUV AMG Line,2580,ปี 1," 3,690,000 "," 72,187.61 "," 67,465.06 ",,
27,EQE 350 4MATIC SUV AMG Dynamic,2580,ปี 1," 3,790,000 "," 74,066.24 "," 69,220.79 ",,
28,EQS 450+ AMG Dynamic                                           ,2515,ปี 1," 5,950,000 "," 92,398.98 "," 86,354.19 ",,
29,EQS 450 4MATIC SUV AMG Dynamic,2840,ปี 1," 5,990,000 "," 93,203.19 "," 87,105.79 ",,
30,Mercedes-AMG EQE 53 4MATIC+,2540,ปี 1," 5,950,000 "," 92,487.98 "," 86,437.36 ",,
32,Mercedes - Maybach EQS 680 SUV,3075,ปี 1," 12,620,000 "," 195,330.18 "," 182,551.57 ",,
14,S 350 d Exclusive,2925,ปี 1," 7,050,000 "," 77,643.36 "," 72,563.89 ",,
16,S 580 e AMG Premium,2999,ปี 1," 7,580,000 "," 84,439.46 "," 78,915.38 ",,
