Entity,Order,Sort_Order,BorrowerType,AssetValuationCurve,NumberOfVehiclesLower,NumberOfVehiclesUpper,AssetState,OPEX_SEGMENT,Value,Value_abs
THA-FS,1,,,,,,,MB PC - retail business,0.009505404052911268,
THA-FS,2,,,,,,,MB PC - small fleets,0.0067818652349576234,
THA-FS,3,,,,,,,MB PC - medium fleets,0.0065000000000000014,
THA-FS,4,,,,,,,MB PC - extra large fleets,0.0065000000000000014,
THA-FS,5,,,,,,,MB Truck - retail business,0.012791971416198462,
THA-FS,6,,,,,,,MB Truck - small fleets,0.008950301179446906,
THA-FS,7,,,,,,,MB Truck - medium fleets,0.0076404683778951545,
THA-FS,8,,,,,,,MB Truck - large fleets,0.0065000000000000014,
THA-FS,9,,,,,,,MB Truck - extra large fleets,0.0065000000000000014,
THA-FS,10,,,,,,,Bus - retail business,0.012270248758493515,
THA-FS,11,,,,,,,Bus - small fleets,0.008606075110430525,
THA-FS,12,,,,,,,Bus - large fleets,0.007356760479283845,
THA-FS,13,,,,,,,Van - small fleets,0.00803222692672886,
THA-FS,14,,,,,,,Van - medium fleets,0.0065000000000000014,
THA-FS,15,,,,,,,Non DAI CV - retail business,0.0135,
THA-FS
,16,,,,,,,Non DAI CV - small fleets,0.013499999999999998,
THA-FS,17,,,,,,,Non DAI CV - medium fleets,0.013499999999999998,
THA-FS,18,,,,,,,Non DAI CV - extra large fleets,0.0135,
THA-FS,19,,,,,,,wholesale,0.0057,
