Product,Term,DPMin,DPMax,PaymentMode,StandardRate
HP,24,0.00,0.1499,Advance,6.5820
HP,36,0.00,0.1499,Advance,6.5998
HP,48,0.00,0.1499,Advance,6.5760
HP,60,0.00,0.1499,Advance,6.9798
HP,72,0.00,0.1499,Advance,7.5319
HP,24,0.15,0.1999,Advance,6.3054
HP,36,0.15,0.1999,Advance,6.3251
HP,48,0.15,0.1999,Advance,6.3047
HP,60,0.15,0.1999,Advance,6.8029
HP,72,0.15,0.1999,Advance,7.2733
HP,24,0.20,0.2499,Advance,4.7101
HP,36,0.20,0.2499,Advance,4.7366
HP,48,0.20,0.2499,Advance,4.7325
HP,60,0.20,0.2499,Advance,5.1898
HP,72,0.20,0.2499,Advance,6.2276
HP,24,0.25,0.2999,Advance,4.5236
HP,36,0.25,0.2999,Advance,4.5504
HP,48,0.25,0.2999,Advance,4.5478
HP,60,0.25,0.2999,Advance,5.0809
HP,72,0.25,0.2999,Advance,6.0515
HP,24,0.30,1.0000,Advance,4.3368
HP,36,0.30,1.0000,Advance,4.3638
HP,48,0.30,1.0000,Advance,4.3626
HP,60,0.30,1.0000,Advance,4.8990
HP,72,0.30,1.0000,Advance,5.8749
HP,24,0.00,0.1499,Arrears,6.7662
HP,36,0.00,0.1499,Arrears,6.7826
HP,48,0.00,0.1499,Arrears,6.7563
HP,60,0.00,0.1499,Arrears,7.1562
HP,72,0.00,0.1499,Arrears,7.7036
HP,24,0.15,0.1999,Arrears,6.4899
HP,36,0.15,0.1999,Arrears,6.5083
HP,48,0.15,0.1999,Arrears,6.4856
HP,60,0.15,0.1999,Arrears,6.9798
HP,72,0.15,0.1999,Arrears,7.4458
HP,24,0.20,0.2499,Arrears,4.8964
HP,36,0.20,0.2499,Arrears,4.9225
HP,48,0.20,0.2499,Arrears,4.9169
HP,60,0.20,0.2499,Arrears,5.3710
HP,72,0.20,0.2499,Arrears,6.4032
HP,24,0.25,0.2999,Arrears,4.7101
HP,36,0.25,0.2999,Arrears,4.7366
HP,48,0.25,0.2999,Arrears,4.7325
HP,60,0.25,0.2999,Arrears,5.2624
HP,72,0.25,0.2999,Arrears,6.2276
HP,24,0.30,1.0000,Arrears,4.5236
HP,36,0.30,1.0000,Arrears,4.5504
HP,48,0.30,1.0000,Arrears,4.5478
HP,60,0.30,1.0000,Arrears,5.0809
HP,72,0.30,1.0000,Arrears,6.0515
mySTAR,36,0.00,1.00,Any,12.25
mySTAR,48,0.00,1.00,Any,12.25
mySTAR,60,0.00,1.00,Any,12.25
FL,48,0.00,1.00,Any,11.20
FL,60,0.00,1.00,Any,11.00
FL,72,0.00,1.00,Any,10.95
