Class,ModelName,RoadTaxJur,RoadTaxInd,MSRP,CC,RV12,RV24,RV36,RV48,RV60
A-Class,A 200 AMG Dynamic(*)(*),3196,1398,2170000,1332,0.67,0.56,0.51,0.45,0.4
A-Class,A 200 AMG Dynamic (FL),3196,1398,2320000,1332,0.67,0.56,0.51,0.45,0.4
GLA-Class,GLA 200 AMG Dynamic(*),3196,1398,2480000,1332,N/A,N/A,N/A,N/A,N/A
GLA-Class,GLA 200 AMG Dynamic (*)(*),3196,1398,2540000,1332,N/A,N/A,N/A,N/A,N/A
GLA-Class,GLA 200 AMG Dynamic -TH5,3196,1398,2580000.01,1332,N/A,N/A,N/A,N/A,N/A
GLA-Class,GLA 200 Progressive,3196,1398,2199000,1332,N/A,N/A,N/A,N/A,N/A
GLA-Class,GLA 200 Progressive(*),3196,1398,2330000,1332,N/A,N/A,N/A,N/A,N/A
GLB-Class,GLB 200 Progressive,3196,1398,2860000,1332,N/A,N/A,N/A,N/A,N/A
GLB-Class,GLB 200 Progressive (*),3196,1398,2899000,1332,N/A,N/A,N/A,N/A,N/A
GLB-Class,GLB 200 Progressive (*) PG1,3196,1398,2999000,1332,N/A,N/A,N/A,N/A,N/A
GLB-Class,GLB 200 Progressive (*) PG2,3196,1398,3019000,1332,N/A,N/A,N/A,N/A,N/A
C-Class,C 200 Coupe AMG Dynamic (*)(*),6128,2864,3469000,1991,0.67,0.57,0.52,0.46,0.41
C-Class,C 200 Coupe AMG Dynamic (*)(*)(*),6128,2864,3539000,1991,0.67,0.57,0.52,0.46,0.41
C-Class,C 200 Coupe AMG Dynamic (*)(*)(*)(*),6128,2864,3560000,1991,0.67,0.57,0.52,0.46,0.41
C-Class,C 220 d Avantgarde (new),6144,2872,2590000,1993,0.7,0.59,0.53,0.46,0.41
C-Class,C 220 d Avantgarde (new) (*),6144,2872,2730000,1993,0.7,0.59,0.53,0.46,0.41
C-Class,C 220 d AMG Dynamic (new),6144,2872,2990000,1993,0.62,0.52,0.47,0.41,0.36
C-Class,C 220 d AMG Line,6144,2872,2880000,1993,0.7,0.59,0.53,0.46,0.41
C-Class,C 300 e AMG Sport,6128,2864,2699000,1991,N/A,N/A,N/A,N/A,N/A
C-Class,C 300 e AMG Sport(*),6128,2864,2739000,1991,N/A,N/A,N/A,N/A,N/A
C-Class,C 350 e AMG Dynamic (New),6192,2896,3350000,1999,0.66,0.55,0.49,0.42,0.37
C-Class,C 350 e AMG Dynamic - TH3,6192,2896,3200000,1999,N/A,N/A,N/A,N/A,N/A
C-Class,C 350 e AMG Dynamic (Night Edition)-TH2,6192,2896,3290000,1999,N/A,N/A,N/A,N/A,N/A
CLE-Class,CLE 300 4MATIC Coupe AMG Dynamic - THA,6192,2896,3950000,1999,N/A,N/A,N/A,N/A,N/A
CLE-Class,CLE 300 4MATIC Coupe AMG Dynamic - THB,6192,2896,4050000,1999,N/A,N/A,N/A,N/A,N/A
E-Class,E 300 e Avantgarde FL(*)(*),6128,2864,3299000,1991,0.62,0.52,0.47,0.41,0.36
E-Class,E 300 e Avantgarde FL (*)(*)(*),6128,2864,3400000,1991,0.62,0.52,0.47,0.41,0.36
E-Class,E 300 e AMG Dynamic FL(*),6128,2864,3849000,1991,0.62,0.52,0.47,0.41,0.36
E-Class,E 300 e AMG Dynamic FL(*)(*),6128,2864,3899000,1991,0.62,0.52,0.47,0.41,0.36
E-Class,E 300 e AMG Dynamic FL (*)(*)(*),6128,2864,4020000,1991,0.62,0.52,0.47,0.41,0.36
E-Class,E 350 e AMG Dynamic-THB,6192,2896,4080000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 220 d AMG Sport FL(*),5800,2700,3569000,1950,0.67,0.57,0.52,0.46,0.41
E-Class,E 220 d AMG Line -THB,6144,2872,3990000,1993,N/A,N/A,N/A,N/A,N/A
E-Class,E 220 d AMG Sport FL (*)(*),5800,2700,3650000,1950,0.67,0.57,0.52,0.46,0.41
E-Class,E 200 Coupe AMG Dynamic FL,6128,2864,4550000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Coupe AMG Dynamic FL (*),6128,2864,4850000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Coupe AMG Dynamic FL SP1,6128,2864,4470000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Coupe AMG Dynamic FL PG1,6128,2864,4880000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Coupe AMG Dynamic FL SP2,6128,2864,4740000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Cabriolet AMG Dynamic FL,6128,2864,5140000,1991,N/A,N/A,N/A,N/A,N/A
E-Class,E 200 Cabriolet AMG Dynamic FL SP1,6128,2864,5020000,1991,N/A,N/A,N/A,N/A,N/A
CLS-Class,CLS 220 d AMG Premium FL(*),5800,2700,4520000,1950,0.64,0.54,0.49,0.43,0.38
CLS-Class,CLS 220 d AMG Premium FL (*)(*),5800,2700,4640000,1950,0.64,0.54,0.49,0.43,0.38
S-Class,S 350 d Exclusive V223(*),13600,6600,6860000,2925,0.68,0.57,0.51,0.45,0.4
